escenario,familia,modelo,n_obs,n_features,RMSE,MAE,R2,AIC,BIC
escenario1,sklearn,DecisionTree,254,10,0.0,0.0,1.0,,
escenario1,sklearn,GaussianProcess,254,10,2.6965791175263362e-09,2.150873225807474e-09,1.0,,
escenario1,sklearn,HistGradientBoosting,254,10,2.409114941109002,1.8144144443057844,0.980332866163145,,
escenario1,sklearn,GradientBoosting,254,10,2.427691951242197,1.8901129530340803,0.9800283848823992,,
escenario1,sklearn,RandomForest,254,10,2.520355344893154,1.9583966918962168,0.9784746816303724,,
escenario1,sklearn,Bagging_Tree,254,10,2.5310540137185207,1.9586948640914401,0.9782915479008973,,
escenario1,sklearn,Stacking_ridge+rf_linear,254,10,2.734754882136597,2.1356882243673003,0.9746567187248861,,
escenario1,sklearn,SVR_rbf,254,10,7.1238466219432555,4.840321580263125,0.8280290256433365,,
escenario1,sklearn,KNN_5,254,10,9.310971801707455,7.575210379133858,0.7062241754977943,,
escenario1,sklearn,LinearRegression,254,10,10.176416219195966,7.95344681212373,0.6490738320621601,,
escenario1,statsmodels,OLS,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,1960.3284889700817
escenario1,statsmodels,GLM_Gaussian,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,24958.527327958443
escenario1,statsmodels,GLS,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,1960.3284889700817
escenario1,sklearn,SGDRegressor,254,10,10.186196988708868,7.986513771339004,0.6483989427234598,,
escenario1,statsmodels,WLS_resid,254,10,10.1878691077277,7.883536111561964,0.6482834988398234,1534.458249139007,1573.3689260762108
escenario1,sklearn,RidgeCV,254,10,10.196549684959454,7.995326558096421,0.647683883175724,,
escenario1,sklearn,LassoCV,254,10,10.199768600111659,7.971984708916717,0.6474614050378904,,
escenario1,sklearn,ElasticNetCV,254,10,10.206076051293847,8.00149058048641,0.6470252564155599,,
escenario1,statsmodels,RLM_Huber,254,10,10.253784615082855,7.884475613998425,0.6437175645466291,,
escenario1,sklearn,HuberRegressor,254,10,10.426401394046346,7.805655930406786,0.631620960085743,,
escenario1,statsmodels,Quantile_tau0.5,254,10,10.776156937567077,7.721542819994794,0.6064917461090538,,
escenario2,sklearn,DecisionTree,772,9,0.27443042243010196,0.013968140725388602,0.9997324010778711,,
escenario2,sklearn,GaussianProcess,772,9,0.27443042243195687,0.013968405347944335,0.9997324010778674,,
escenario2,sklearn,RandomForest,772,9,2.953613903229383,2.072652451995784,0.9690024550208474,,
escenario2,sklearn,Bagging_Tree,772,9,2.9540303965412695,2.059892619695742,0.9689937123883711,,
escenario2,sklearn,HistGradientBoosting,772,9,3.2557558331295198,2.0470330075349095,0.9623362545325663,,
escenario2,sklearn,Stacking_ridge+rf_linear,772,9,3.88765254057389,2.8041278222693626,0.9462974711274388,,
escenario2,sklearn,GradientBoosting,772,9,5.627844458791175,4.024707348307168,0.8874607481924586,,
escenario2,sklearn,SVR_rbf,772,9,7.1176690803586,4.487263141380102,0.8199904953676868,,
escenario2,sklearn,KNN_5,772,9,7.646501612289076,5.6571197296553795,0.792247900955886,,
escenario2,statsmodels,OLS,772,9,9.0406160612313,6.825950638188347,0.7095871001413441,5610.308078040322,5656.797923540569
escenario2,statsmodels,GLM_Gaussian,772,9,9.0406160612313,6.825950638188347,0.7095871001413441,5610.308078040322,58031.148100691185
escenario2,statsmodels,GLS,772,9,9.0406160612313,6.825950638188347,0.7095871001413441,5610.308078040322,5656.797923540569
escenario2,sklearn,LinearRegression,772,9,9.040616061231301,6.825950638188324,0.709587100141344,,
escenario2,sklearn,LassoCV,772,9,9.040633311985902,6.8256596562889476,0.7095859918437646,,
escenario2,statsmodels,WLS_resid,772,9,9.041272433433551,6.821223649899753,0.7095449291492197,4429.341856435934,4475.831701936181
escenario2,sklearn,RidgeCV,772,9,9.042350486351763,6.826588011724688,0.7094756591195592,,
escenario2,sklearn,SGDRegressor,772,9,9.042865671348293,6.825501874262623,0.7094425531156321,,
escenario2,sklearn,ElasticNetCV,772,9,9.043225439088516,6.8270669033828835,0.7094194331712956,,
escenario2,statsmodels,RLM_Huber,772,9,9.054372724538378,6.791402179718589,0.7087026135001802,,
escenario2,sklearn,HuberRegressor,772,9,9.065378865049945,6.784989104631962,0.7079940037169365,,
escenario2,statsmodels,Quantile_tau0.5,772,9,9.105109793393433,6.7699644627101065,0.7054288395104653,,
escenario3,sklearn,DecisionTree,772,9,0.27443042243010196,0.013968140725388602,0.9997324010778711,,
escenario3,sklearn,GaussianProcess,772,9,0.2744304224325925,0.013968367968146527,0.9997324010778662,,
escenario3,sklearn,RandomForest,772,9,2.9530077044043344,2.0718202503810277,0.9690151775686584,,
escenario3,sklearn,Bagging_Tree,772,9,2.9534389249515973,2.059084738568613,0.9690061276311155,,
escenario3,sklearn,HistGradientBoosting,772,9,3.2557558331295198,2.0470330075349095,0.9623362545325663,,
escenario3,sklearn,Stacking_ridge+rf_linear,772,9,3.887206300078769,2.80367804155995,0.9463097988071719,,
escenario3,sklearn,GradientBoosting,772,9,5.627844458791175,4.024707348307168,0.8874607481924586,,
escenario3,sklearn,SVR_rbf,772,9,7.1176690803586,4.487263141380102,0.8199904953676868,,
escenario3,sklearn,KNN_5,772,9,7.646501612289076,5.6571197296553795,0.792247900955886,,
escenario3,statsmodels,OLS,772,9,9.0406160612313,6.825950638188324,0.7095871001413441,5610.308078040322,5656.797923540569
escenario3,statsmodels,GLM_Gaussian,772,9,9.0406160612313,6.825950638188324,0.7095871001413441,5610.308078040322,58031.148100691185
escenario3,statsmodels,GLS,772,9,9.0406160612313,6.825950638188324,0.7095871001413441,5610.308078040322,5656.797923540569
escenario3,sklearn,LinearRegression,772,9,9.0406160612313,6.8259506381883215,0.7095871001413441,,
escenario3,sklearn,LassoCV,772,9,9.040633311985902,6.8256596562889476,0.7095859918437646,,
escenario3,statsmodels,WLS_resid,772,9,9.041272433433562,6.82122364989972,0.7095449291492192,4429.341856435934,4475.831701936181
escenario3,sklearn,RidgeCV,772,9,9.04235048635178,6.826588011724631,0.7094756591195582,,
escenario3,sklearn,SGDRegressor,772,9,9.042865671348293,6.825501874262623,0.7094425531156321,,
escenario3,sklearn,ElasticNetCV,772,9,9.043225439088516,6.827066903382882,0.7094194331712956,,
escenario3,statsmodels,RLM_Huber,772,9,9.054372724538403,6.791402179718509,0.7087026135001786,,
escenario3,sklearn,HuberRegressor,772,9,9.065378865049945,6.784989104631961,0.7079940037169365,,
escenario3,statsmodels,Quantile_tau0.5,772,9,9.105109634706421,6.769964464166534,0.7054288497782419,,
escenario4,sklearn,DecisionTree,772,15,0.27443042243010196,0.013968140725388602,0.9997324010778711,,
escenario4,sklearn,GaussianProcess,772,15,0.27443042243187193,0.013968298645352515,0.9997324010778676,,
escenario4,sklearn,RandomForest,772,15,3.0143957819146117,2.1373861841308863,0.9677135423586186,,
escenario4,sklearn,Bagging_Tree,772,15,3.040563437150067,2.137014247510703,0.9671505585778902,,
escenario4,sklearn,HistGradientBoosting,772,15,3.350489532760981,2.104036752683211,0.9601125399213499,,
escenario4,sklearn,Stacking_ridge+rf_linear,772,15,4.213570411808592,3.0926243010613934,0.9369158344276909,,
escenario4,sklearn,GradientBoosting,772,15,5.910504066569134,4.2268090225326596,0.8758722473526181,,
escenario4,sklearn,SVR_rbf,772,15,7.314573159566724,4.6757979286755145,0.8098931229456201,,
escenario4,sklearn,KNN_5,772,15,7.401814346881806,5.42549419711491,0.8053312557916896,,
escenario4,sklearn,LinearRegression,772,15,8.766675149576281,6.657895889382148,0.7269201349525737,,
escenario4,statsmodels,OLS,772,15,8.766675149576283,6.657895889382143,0.7269201349525737,5574.799657687627,5649.183410488023
escenario4,statsmodels,GLM_Gaussian,772,15,8.766675149576283,6.657895889382143,0.7269201349525737,5574.799657687627,54305.113613750385
escenario4,statsmodels,GLS,772,15,8.766675149576283,6.657895889382143,0.7269201349525737,5574.799657687625,5649.183410488021
escenario4,statsmodels,WLS_resid,772,15,8.767476950027364,6.651089616475644,0.7268701808780627,4436.862450060275,4511.246202860671
escenario4,statsmodels,RLM_Huber,772,15,8.782767893353357,6.626317039690332,0.725916644404381,,
escenario4,sklearn,HuberRegressor,772,15,8.797214309704101,6.618142922750682,0.7250142458106508,,
escenario4,sklearn,RidgeCV,772,15,8.817023396751743,6.6831919624282214,0.7237744557083993,,
escenario4,sklearn,ElasticNetCV,772,15,8.820784578980227,6.683178939833596,0.7235387398308721,,
escenario4,sklearn,SGDRegressor,772,15,8.827898133237357,6.684587626637842,0.7230926536235865,,
escenario4,sklearn,LassoCV,772,15,8.834787737626518,6.690899318071066,0.722660268362558,,
escenario4,statsmodels,Quantile_tau0.5,772,15,8.842493325287892,6.586342616078442,0.7221762731295973,,
escenario5,sklearn,DecisionTree,772,36,0.27443042243010196,0.013968140725388602,0.9997324010778711,,
escenario5,sklearn,GaussianProcess,772,36,0.27443042243096905,0.01396819463383331,0.9997324010778693,,
escenario5,sklearn,RandomForest,772,36,3.101231966087892,2.2019897796214325,0.9658265870030015,,
escenario5,sklearn,Bagging_Tree,772,36,3.104489614978216,2.187831300721263,0.9657547552586578,,
escenario5,sklearn,HistGradientBoosting,772,36,3.3380371695804594,2.0923529417697004,0.9604084788487501,,
escenario5,sklearn,Stacking_ridge+rf_linear,772,36,4.4171060474074455,3.209309451632636,0.9306741020231457,,
escenario5,sklearn,GradientBoosting,772,36,5.718583328823512,4.139163909004396,0.8838025066961699,,
escenario5,sklearn,KNN_5,772,36,7.293786329710888,5.35843482232075,0.8109720934198202,,
escenario5,sklearn,SVR_rbf,772,36,7.361627567308264,4.732414136964642,0.8074393532080341,,
escenario5,statsmodels,OLS,772,36,8.516394764710885,6.345316009506763,0.7422899114602182,5566.078444148162,5724.143918849004
escenario5,statsmodels,GLM_Gaussian,772,36,8.516394764710885,6.345316009506763,0.7422899114602182,5566.078444148162,51085.42179872264
escenario5,statsmodels,GLS,772,36,8.516394764710885,6.345316009506763,0.7422899114602182,5566.078444148161,5724.143918849003
escenario5,sklearn,LinearRegression,772,36,8.516394764710885,6.345316009506762,0.7422899114602182,,
escenario5,statsmodels,WLS_resid,772,36,8.525382848765966,6.305025379796428,0.7417456571583645,4340.217708455714,4498.283183156556
escenario5,statsmodels,RLM_Huber,772,36,8.540914720485986,6.2732561498084785,0.7408038045165277,,
escenario5,sklearn,HuberRegressor,772,36,8.565209542674934,6.257365568901558,0.7393271285761736,,
escenario5,sklearn,SGDRegressor,772,36,8.577392954356725,6.377563469799798,0.7385850232889404,,
escenario5,sklearn,RidgeCV,772,36,8.58064793991554,6.393740966844802,0.7383865799086426,,
escenario5,sklearn,ElasticNetCV,772,36,8.617712393062776,6.409867058540463,0.7361215992786978,,
escenario5,statsmodels,Quantile_tau0.5,772,36,8.619486107079204,6.219320130947464,0.7360129641877176,,
escenario5,sklearn,LassoCV,772,36,8.635498557144736,6.423200679817608,0.7350312338371128,,
